"product_name";"product_brand";"product_package_has";"product_macro_for";"product_kcal";"product_protein";"product_fat";"product_carbs";"comment_optional"
"Twaróg Klinek - pó³t³usty ";"Delikate";250.0;100.0;111.0;16.0;3.5;3.8;""
"Twaróg Sernikowy";"PRESIDENT";1000.0;100.0;92.0;9.7;4.0;4.2;""
"Twaróg solankowy";"";0.0;100.0;155.0;15.0;8.5;4.5;"/www.tabele-kalorii.pl/kalorie,Twarog-solankowy-Jana.html"
"Twaróg z pomidorami - domowy";"domowe";0.0;100.0;78.74;10.09;2.38;4.33;"Link: https://www.tabele-kalorii.pl/kalorie,Twarog-z-pomidorami-Przepis-od-altmer.html"
"Twist pitny - truskawka";"Bakoma";370.0;100.0;68.0;2.7;1.6;10.6;""
"Twój Smak Serek œmietankowy naturalny";"Pi¹tnica";200.0;100.0;243.0;6.0;23.0;3.0;"Link: https://www.tabele-kalorii.pl/kalorie,Twoj-Smak-Serek-smietankowy-naturalny-Piatnica.html"
"Twój Smak serek œmietankowy z czosnkiem";"Pi¹tnica";125.0;100.0;239.0;6.0;22.0;4.3;"/www.tabele-kalorii.pl/kalorie,Twoj-Smak-serek-smietankowy-z-czosnkiem-Piatnica.html"
"Udka z kurczaka";"Domowe";0.0;100.0;250.0;22.5;7.5;0.0;"/dietly.pl/blog/udko-z-kurczaka-kcal-jaka-jest-kalorycznosc-miesa-z-kurczaka"
"Udo z kurczaka ze skór¹ - gotowane";"";0.0;100.0;136.0;15.0;9.0;0.0;"Domowa potrawa"
"Wafle ry¿owe w czekoladzie mlecznej";"SONKO";65.0;100.0;475.0;8.0;19.6;65.3;""
"W¹tróbka drobiowa sma¿ona";"";0.0;100.0;259.0;17.6;19.5;4.0;""
"Wiejskie filety œledzione z cebulk¹";"Marinero";474.0;100.0;195.0;9.9;12.7;10.0;"Dane z opakowania"
"Winogrona";"Owoce";0.0;100.0;70.0;0.72;0.16;17.2;""
"Wiœnie";"owoce";0.0;100.0;60.0;1.1;0.2;14.0;"/www.tabele-kalorii.pl/kalorie,Wisnie.html"
"Zapiekanka z pieczarkami i serem mozzarella";"Carrefour Classic";236.0;100.0;227.0;11.0;5.9;31.0;""
"Zapiekanka z szynk¹";"Carrefour Classic";256.0;100.0;215.0;11.0;5.9;28.0;""
"Zapiekaron Cheesy Margherita";"Pizza Hut";310.0;100.0;190.0;8.4;9.2;17.7;"Dane z pdfu w projekcie"
"Ziemniaki - gotowane";"";0.0;100.0;70.0;1.6;0.0;17.0;"0.8"
"Ziemniaki sma¿one";"Domowe";0.0;100.0;113.61;2.08;3.02;19.46;""
"Ziemniaki ugotowane";"None";0.0;100.0;70.0;1.6;0.0;17.0;""
"Zinger";"KFC";179.0;100.0;270.0;13.7;13.7;22.7;"Link: https://www.tabele-kalorii.pl/kalorie,Kanapka-Zinger-KFC.html"
"Zott Monte Mega Deser z Czekolada i Orzechami Laskowymi";"Zott Monte";400.0;100.0;183.0;2.6;12.2;15.5;"13.60"
"Zupa b³yskawiczna - Gulaszowa";"Amino";0.0;100.0;72.0;1.4;3.3;8.5;"/www.carrefour.pl/artykuly-spozywcze/konserwy-i-dania-gotowe/zupy/amino-zupa-blyskawiczna-gulaszowa-z-wieprzowina-i-papryka-59-g"
"Zupa b³yskawiczna - Pomidorowa";"AMINO";61.0;100.0;73.0;1.4;3.2;9.2;"Opakowanie pozwala na przygotowanie 1 porcji - 400 ml"
"Zupa b³yskawiczna - Rosó³";"Amino";58.0;100.0;61.0;1.2;2.7;7.9;"Opakowanie pozwala na przygotowanie 1 porcji - 400 ml"
"Zupa Nudle Ser w zio³ach";"Knorr";61.0;100.0;94.0;1.8;4.8;10.0;"Opakowanie pozwala na przygotowanie 350g produktu"
"Zupa pomidorowa z ry¿em domowa";"domowe";0.0;100.0;38.0;1.4;1.8;3.9;"Link: https://www.tabele-kalorii.pl/kalorie,Zupa-pomidorowa-z-ryzem-domowa.html"
"Zupka  - Barszcz Czerwony";"Amino";69.0;100.0;70.0;1.0;3.0;9.0;"Opakowanie pozwala na przygotowanie 1 porcji - 400 ml"
"Zupka b³yskawiczna grzybowa";"Amino";57.0;100.0;70.0;1.2;3.2;8.6;"Opakowanie pozwala na przygotowanie 1 porcji - 400ml"
"¯urawina suszona";"Makar";500.0;100.0;342.0;0.3;0.5;84.0;"/www.tabele-kalorii.pl/kalorie,Zurawina-suszona-Makar.html"
